sample,id,text,reply_to,Target_chi,Target_categoria,Contenuto/tema,offensività,hate speech,tipo_risposta,RISPOSTA
Camp300casuali,"1,22115910461126E+018","""@CorSport Sta gentaglia qua deve andare a lavorare nei campi ad estirpare erbacce e spaccarsi la schiena!! #ilcancrodelcalcio""","""#Lazio, striscione dei tifosi a #Trigoria: \u201c#Zaniolo zoppo de #Roma\u201d \ud83d\udcf7 \u2935\ufe0f https://t.co/HSiFgcn93e""",gruppo,tifosi,insulto generico,1,0,augurio lavoro,"Con questo commento non solo colpisci la persona a cui è rivolto, ma anche le persone che svolgono effettivamente questo lavoro."
Camp300HS,"1,19207036203875E+018",@annatrieste Devono andare a raccogliere percoche!! Vergogna!!,"""Se il calcio moderno \u00e8 quando i tifosi vengono daspati perch\u00e9 mettono i piedi sulle balaustre per sventolare le ban\u2026 https://t.co/Y9fPR2rPKC""",gruppo,tifosi,insulto generico,1,0,augurio lavoro,"Con questo commento non solo colpisci la persona a cui è rivolto, ma anche le persone che svolgono effettivamente questo lavoro."
Camp100hs,"1,1907876904862E+018",@realvarriale Vai a zappare parassita!,,singolo,giornalismo,insulto generico,1,0,augurio lavoro,"Con questo commento non solo colpisci la persona a cui è rivolto, ma anche le persone che svolgono effettivamente questo lavoro."
Camp100hs,"1,21236514083586E+018","@Gazzetta_it Questo lo manderei a zappare, ha un cervello come il buco del culo di una gallina",,singolo,non identificabile,insulto generico,2,0,augurio lavoro,"Con questo commento non solo colpisci la persona a cui è rivolto, ma anche le persone che svolgono effettivamente questo lavoro."
Camp300casuali,"1,22188012652846E+018",@CorSport Vergognati .... ricorda  che prima o poi tutto ti ritornerà indietro con gli interessi !!! ATTENDIAMO SPERANZOSI .....,"""Una stella \u00e8 caduta dal cielo | di Ivan Zazzaroni https://t.co/kRanyDMHXP""",singolo,giornalismo,insulto generico,1,0,augurio male,"Anche se alcune volte le persone si comportano in maniera sbagliata, augurare loro il male non servirà a eliminare le azioni negative commesse."
Camp300HS,"1,23150782422153E+018","@FabrizioDelpret Speriamo che il karma sia anche stronzo con gli imbecilli come te a sto punto, che ne dici?","""Pi\u00f9 di un mese a urlare \u201cchiudete i porti\u201d e \u201cattenzione ai cinesi\u201d e poi il contagio arriva da due lombardi.\n\nIl k\u2026 https://t.co/E5kKiTbl4F""",singolo,utente,insulto generico,1,0,augurio male,"Anche se alcune volte le persone si comportano in maniera sbagliata, augurare loro il male non servirà a eliminare le azioni negative commesse."
Camp300casuali,"1,20004714370213E+018","@CorSport Esplodete a soli €25,00 🙏","""\ud83d\udd34 #BlackFriday | Leggi 6 mesi di #CorrieredelloSport a soli 25,00\u20ac \u203c\nhttps://t.co/HvMl3i7pok""",organizzazione,giornalismo,insulto generico,2,0,augurio male,"Anche se alcune volte le persone si comportano in maniera sbagliata, augurare loro il male non servirà a eliminare le azioni negative commesse."
Camp300casuali,"1,18088908034898E+018",@SkySport  Ma chi cazzè la Morace ? Magari morite tutti tranne Posa e Fianchini almeno quelli fanno ride e intrattengono,NOT FOUND,gruppo,giornalismo,insulto generico,2,0,augurio morte,"Anche se alcune volte ci sembra che le persone si comportino in maniera sbagliata, augurare la morte a qualcuno è molto grave."
Camp300casuali,"1,20553415156006E+018",@CorSport figli di puttana. Merde. Voi e quel gobbo bastardo di Italo Cucci. Freddi. Dovete svegliarvi freddi. Bastardi,NOT FOUND,organizzazione,giornalismo,insulto generico,3,0,augurio morte,"Anche se alcune volte ci sembra che le persone si comportino in maniera sbagliata, augurare la morte a qualcuno è molto grave."
Camp300HS,"1,22412253613015E+018",@SkySport Vai a morire male rotto in culo! Tanto non lo vincerete cinesi cartonati di merda!,"""#Conte dopo #UdineseInter: \""Ora pi\u00f9 qualit\u00e0 nella rosa. #Eriksen? Prestazione positiva\""\nhttps://t.co/cIX3nn2i2V""",singolo,allenatori,insulto generico,3,0,augurio morte,"Anche se alcune volte ci sembra che le persone si comportino in maniera sbagliata, augurare la morte a qualcuno è molto grave."
Camp300HS,"1,22808149053116E+018",@CorSport Devi morire coglione e mafioso,"""#Juve, #Bonucci: \""Dobbiamo cambiare marcia, dare qualcosa di pi\u00f9\"" https://t.co/owtQjBWz9m""",singolo,atleti,insulto generico,3,0,augurio morte,"Anche se alcune volte ci sembra che le persone si comportino in maniera sbagliata, augurare la morte a qualcuno è molto grave."
Camp300HS,"1,18349142283985E+018",@donatocerullo casualmente un cazzo! è una merda di uomo con i capelli alla mocio wileda. gli auguro il peggio,"""Infortunio di Sanchez provocato CASUALMENTE da Cuadrado. \ud83e\udd14 https://t.co/EGhEsWfl5r""",singolo,atleti,insulto generico,3,0,augurio morte,"Anche se alcune volte ci sembra che le persone si comportino in maniera sbagliata, augurare la morte a qualcuno è molto grave."
Camp100hs,"1,22027211200423E+018",@tuttosport Ma che crepasse sto parassita! E' di un ignoranza colossale!,,singolo,non identificabile,insulto generico,2,0,augurio morte,"Anche se alcune volte ci sembra che le persone si comportino in maniera sbagliata, augurare la morte a qualcuno è molto grave."
Camp300HS,"1,22030465129328E+018",@tuttosport Sei un bastardo parassita. Spero ti mangino i vermi,"""#Bonolis, ironia sulla #Juve e sugli arbitri: \u00e8 bufera social \u2b07\ufe0f https://t.co/nGMjhn7d72""",singolo,personaggi,insulto generico,3,0,augurio morte,"Anche se alcune volte ci sembra che le persone si comportino in maniera sbagliata, augurare la morte a qualcuno è molto grave."
Camp300HS,"1,22939195401592E+018",@BeppeMarottaMa1 @Gazzetta_it Che capra ragazzi mai letta un’idiozia del genere TSO chiedi a Wanda Nara che ti spiega,"""@Gazzetta_it Ma i gobbi, che definiscono la Gazzetta come giornale di Milano, immagino percepiscano la pensione di\u2026 https://t.co/N2fLBC7af6""",singolo,utente,insulto categoria,1,0,augurio tso,Credi quindi che una persona che non si comporta come tu ritieni corretto o la pensa diversamente da te debba essere sottoposto a cure mediche contro la sua volontà?
Camp300casuali,"1,19129460792304E+018",@SkySport Questo presidente va rinchiuso e messo al bando dalla @SerieA,"""\u26a0 #UltimOra\n\ud83d\udde3 #Setti: \""Il gesto di #Balotelli ha pi\u00f9 rilievo\n\ud83c\udf99 Con un altro si sarebbe ripreso a giocare dopo un mi\u2026 https://t.co/nlUbALJU7B""",singolo,allenatori,insulto generico,2,0,augurio tso,Credi quindi che una persona che non si comporta come tu ritieni corretto o la pensa diversamente da te debba essere sottoposto a cure mediche contro la sua volontà?
Camp300casuali,"1,19131042974364E+018",@Gazzetta_it QUESTO VA INTERNATO SUBITO PER RAZZISMO.....E BUTTATE LE CHIAVI.,"""#Castellini, cap\u00f2 ultr\u00e0 del #Verona choc: \""#Balotelli non \u00e8 del tutto italiano, ha fatto una pagliacciata. Anche no\u2026 https://t.co/gdowM9FXQD""",singolo,tifosi,insulto generico,1,0,augurio tso,Credi quindi che una persona che non si comporta come tu ritieni corretto o la pensa diversamente da te debba essere sottoposto a cure mediche contro la sua volontà?
Camp300HS,"1,19102886900187E+018",""" @Gazzetta_it E tu saresti da internare, idiota!","""e poi @Gazzetta_it sente ci\u00f2 che tutti gli altri non sentono. Giornale che incita alla divisione. Balotelli andava semplicemente espulso""",singolo,utente,insulto generico,1,0,augurio tso,Credi quindi che una persona che non si comporta come tu ritieni corretto o la pensa diversamente da te debba essere sottoposto a cure mediche contro la sua volontà?
Camp100hs,"1,19071238759636E+018",@tuttosport @Zelgadis265 Tua mamma tra i cazzi neri. Brutti maiali. Mostrateci chi siete che veniamo a trovarvi. FIGLI DI PUTTANA.,,gruppo,non identificabile,insulto categoria,3,1,augurio violenza,"Nonostante ci si possa arrabbiare molto per i comportamenti o gli atteggiamenti delle altre persone, l'istigazione alla violenza e/o le minacce sono cose molto gravi."
Camp300HS,"1,22501359660797E+018",@CorSport Dica dove e quando e un bel calcio in culo vengo io a darglielo. ...,"""#Commisso: \""Il mio sfogo? Non sono pentito, voglio un altro calcio\"" https://t.co/u6f4I9sjXq""",singolo,allenatori,insulto generico,1,0,augurio violenza,"Nonostante ci si possa arrabbiare molto per i comportamenti o gli atteggiamenti delle altre persone, l'istigazione alla violenza e/o le minacce sono cose molto gravi."
Camp300HS,"1,20288812343851E+018",@CorSport Ma il CDS non ha un editore che cacci a calci in culo sto cretino?,"""\""Razzista a chi?\"" - di Ivan Zazzaroni  https://t.co/l14VLGO8VD""",singolo,giornalismo,insulto generico,1,0,augurio violenza,"Nonostante ci si possa arrabbiare molto per i comportamenti o gli atteggiamenti delle altre persone, l'istigazione alla violenza e/o le minacce sono cose molto gravi."
Camp300casuali,"1,1902208520271E+018",@PeppePoppi @SkySport Rosico I?? Voi vi dovete sputare in faccia ndranghetisti..,"""@SkySport tanti auguri a noi!!\ud83d\ude0d Per gli altri rosiconi,invece, vi consiglio il maalox.. aiuta molto \ud83d\ude1c""",gruppo,tifosi,insulto generico,2,0,CORR accuse mafia,"Anche se può sembrare che vi sia corruzione, queste accuse sono gravi e offensive."
Camp300HS,"1,18980716318468E+018","""@Gazzetta_it Si chiama Sistema mafioso, siete omertosi e ridicoli #FermiamoStaPagliacciata""","""#Buongiorno con la #primapagina di oggi\n7\ufe0f\u20e3 CI PENSA LUI #CR7\n\u26bd\ufe0f Napoli-Atalanta, pari avvelenato\n\u26bd\ufe0f Roma e Lazio,\u2026 https://t.co/DI5KSBVSQS""",organizzazione,giornalismo,insulto generico,1,0,CORR accuse mafia,"Anche se può sembrare che vi sia corruzione, queste accuse sono gravi e offensive."
Camp300HS,"1,18220886529689E+018",@Gazzetta_it O al doping che nascondono ogni anno grazie alla mafia T.I.M. in F.I.G.C. FACCHETTI.INTER.GUIDOROSSI.COLLINA.,"""Come corre l\u2019#InterNazionale grazie alla cura #Conte! https://t.co/Hn340hyYPF #serieA #inter""",organizzazione,organizzazione,insulto generico,1,0,CORR accuse mafia,"Anche se può sembrare che vi sia corruzione, queste accuse sono gravi e offensive."
Camp300casuali,"1,20212250926663E+018",@tuttosport non avete capito niente nella fifa ce la mafia insieme real e Barca,NOT FOUND,organizzazione,organizzazione,insulto generico,1,0,CORR accuse mafia,"Anche se può sembrare che vi sia corruzione, queste accuse sono gravi e offensive."
Camp300HS,"1,21389260516508E+018",@Gazzetta_it Il Genoa ha fatto un favore al padrone e u mafiosi ricambiano...,"""VAR - Sassuolo: goal annullato, il punteggio resta 1:1 https://t.co/IObLgn4UGx #gazzettalive #seriea https://t.co/qSF4BWUFWf""",organizzazione,squadra,insulto generico,1,0,CORR accuse mafia,"Anche se può sembrare che vi sia corruzione, queste accuse sono gravi e offensive."
Camp300HS,"1,19060581394721E+018","@SkySport Ha ragione la madre di Ronaldo, esiste la mafia nel calcio… e suo figlio è andato dalla parte giusta...","""\u26a0 #UltimOra #Napoli\n\u274c Respinto il ricorso per la squalifica di #Ancelotti\n\u26bd L'allenatore non sar\u00e0 in panchina contr\u2026 https://t.co/VSle2qmWs6""",singolo,atleti,insulto generico,1,0,CORR accuse mafia,"Anche se può sembrare che vi sia corruzione, queste accuse sono gravi e offensive."
Camp300HS,"1,22186327389895E+018",@Gazzetta_it Specialmente quando ci sono arbitri che dovrebbero arbitrare partite per dilettanti e non di serie A!,"""#Inter, in inverno c'\u00e8 (spesso) grossa crisi. E i nervi saltano https://t.co/L80ITkBxql #serieA #premium""",gruppo,allenatori,insulto generico,1,0,CORR arbitri errori,"Gli arbitri possono commettere degli errori come tutti, ma ci si può esprimere in altri termini senza offendere."
Camp300HS,"1,18986507048814E+018",@Sport_Mediaset Infatti ci pensano quasi sempre i soliti arbitri di merda venduti e in malafede,"""#Juventus, non pu\u00f2 pensarci sempre #CR7. L'analisi dopo #JuveGenoa \u2b07\ufe0f\u2b07\ufe0f\u2b07\ufe0f\nhttps://t.co/O2h1l5xDDY""",gruppo,allenatori,insulto generico,1,0,CORR arbitri squadra,"Alcune volte può sembrare che gli arbitri favoriscano una squadra rispetto a un'altra, ma ci si può esprimere in altri termini senza offendere."
Camp300HS,"1,22214954075473E+018",@luca190771 @Gazzetta_it A quella merda di Rubentus il problema del ricorso non esiste! Il rosso agli juventini non lo danno!,"""@Gazzetta_it Poi faranno ricorso e miracolosamente si trasformer\u00e1 in una solo Giornata. Copiones gi\u00e1 visto Mille volte""",organizzazione,squadra,insulto generico,1,0,CORR arbitri squadra,"Alcune volte può sembrare che gli arbitri favoriscano una squadra rispetto a un'altra, ma ci si può esprimere in altri termini senza offendere."
Camp300HS,"1,2313480049149E+018",@Sport_Mediaset Questi arbitri di merda stanno rompendo i coglioni al Milan.. Venduti,"""Rabbia #Pioli: \""Il rigore non c'era, da qualche gara ci capitano episodi strani\"". #FiorentinaMilan #SportMediaset\u2026 https://t.co/ioraR3HwqW""",singolo,allenatori,insulto generico,1,0,CORR arbitri squadra,"Alcune volte può sembrare che gli arbitri favoriscano una squadra rispetto a un'altra, ma ci si può esprimere in altri termini senza offendere."
Camp300HS,"1,189834976768E+018",@Gazzetta_it Ma come cazzo fate a vedere la gomitata prima del completo disinteresse al pallone di kjaer?  RIDICOLI!!,"""La Dea che non muore mai pu\u00f2 sognare lo scudetto? https://t.co/Rku2gM6h4c #serieA #atalanta""",organizzazione,giornalismo,insulto generico,1,0,CORR giorn obiett,"Alcune volte può sembrare che i giornali/giornalisti non siano obiettivi, ma spesso le situazioni sono interpretabili in modi diversi e possono essere viste da diversi punti di vista."
Camp100casuali,"1,20729157321559E+018",@CorSport Ma non riuscite a smettere di inventare? Imbarazzanti è riduttivo,,organizzazione,giornalismo,insulto generico,1,0,CORR giorn obiett,"Alcune volte può sembrare che i giornali/giornalisti non siano obiettivi, ma spesso le situazioni sono interpretabili in modi diversi e possono essere viste da diversi punti di vista."
Camp100casuali,"1,18578790228811E+018",@CorSport Ma non scrivere cazzate che @sscnapoli per molto molto meno e' fallito... Libri in tribunale... Il @acmilan e MORTO,,organizzazione,giornalismo,insulto generico,1,0,CORR giorn obiett,"Alcune volte può sembrare che i giornali/giornalisti non siano obiettivi, ma spesso le situazioni sono interpretabili in modi diversi e possono essere viste da diversi punti di vista."
Camp100hs,"1,22466596152296E+018",@Gazzetta_it Oggi siete scatenati a livello di servilismo.,,organizzazione,giornalismo,insulto generico,1,0,CORR giorn obiett,"Alcune volte può sembrare che i giornali/giornalisti non siano obiettivi, ma spesso le situazioni sono interpretabili in modi diversi e possono essere viste da diversi punti di vista."
Camp100hs,"1,22027894009231E+018",@Gazzetta_it Anche a costo di farmi ribloccare siete un giornale di merda gestito@da@schiavi,,organizzazione,giornalismo,insulto generico,1,0,CORR giorn obiett off,"Alcune volte può sembrare che i giornali/giornalisti non siano obiettivi, ma si può esprimere il proprio disaccordo senza offendere."
Camp300HS,"1,20142008821526E+018",@Pupo051 @BuzuLuke @SkySport Siete delle merde gli ha spezzato un piede come si fa a non vedere,"""E questo??? Silenzio tutti... Nessun replay di @SkySport nulla.. I telecronisti nulla.... Cesari dice non ti so dir\u2026 https://t.co/jzNZ0K61eS""",organizzazione,giornalismo,insulto generico,1,0,CORR giorn obiett off,"Alcune volte può sembrare che i giornali/giornalisti non siano obiettivi, ma si può esprimere il proprio disaccordo senza offendere."
Camp300HS,"1,2200376546681E+018",@tutticonvocati La Juve che fa fare le visite mediche e poi non tessera #Shick lo può fare. L'inter NO. #Zazzaroni merda secca 💩,"""\ud83c\udfa4#Zazzaroni: \""Vicenda #Politano surreale. Difendo la Roma, \u00e8 stata l'#Inter a non comportarsi bene. Se induci dubbi\u2026 https://t.co/6BrVlANz3c""",singolo,giornalismo,insulto generico,1,0,CORR giorn obiett off,"Alcune volte può sembrare che i giornali/giornalisti non siano obiettivi, ma si può esprimere il proprio disaccordo senza offendere."
Camp300casuali,"1,20622892689023E+018","@CorSport Meglio esauriti che falsi e zerbini come voi,dovete fallire affiliati","""Comunicato #Inter, tutti esauriti nel calcio italiano \u2b07\ufe0f https://t.co/hEUvSuMnuO""",gruppo,non identificabile,insulto generico,1,0,CORR giorn obiett off,"Alcune volte può sembrare che i giornali/giornalisti non siano obiettivi, ma si può esprimere il proprio disaccordo senza offendere."
