word,to_drop,vulgar_gen,violence,insult_gen,insult_polit,insult_sport,disgust,hate_feelings,homophobia,ethrel_discr,sexism,bodyshame,disability
104,,,,1,,,,,,,,,1
abbaiatore,1,,,,,,,,,,,,
abbaiator*,1,,,,,,,,,,,,
abbaiatric*,1,,,,,,,,,,,,
abbrutire,1,,,,,,,,,,,,
abbrut*,,,,1,,,,,,,,,
abiett*,,,,1,,,,,,,,,
abbiett*,,,,1,,,,,,,,,
abiezione,1,,,,,,,,,,,,
abbiezione,1,,,,,,,,,,,,
abominio,1,,,,,,,,,,,,
abomin*,,,,1,,,,,,,,,
abusivo,,,,1,,,,,,,,,
abusiva,,,,1,,,,,,,,,
abusivi,,,,1,,,,,,,,,
abusive,,,,1,,,,,,,,,
accattabrighe,,,,1,,,,,,,,,
accattatozzi,,,,1,,,,,,,,,
accattone,1,,,,,,,,,,,,
accatton*,,,,1,,,,,,,,,
accidioso,1,,,,,,,,,,,,
accozzaglia,1,,,,,,,,,,,,
accozzagli*,,,,1,,,,,,,,,
acrimonioso,1,,,,,,,,,,,,
adultera,,,,1,,,,,,,,,
adultero,,,,1,,,,,,,,,
adultere,,,,1,,,,,,,,,
adulteri,,,,1,,,,,,,,,
affanculo,,1,,1,,,,,,,,,
africa*,,,,,,,,,,1,,,
aggiratore,1,,,,,,,,,,,,
aggiratrice,1,,,,,,,,,,,,
aguzzino,1,,,,,,,,,,,,
aguzzin*,1,,,,,,,,,,,,
alcolizzato,1,,,,,,,,,,,,
alcolizzat*,,,,,,,,,,,,,1
allocco,1,,,,,,,,,,,,
allocc*,,,,1,,,,,,,,,
altezzosità,1,,,,,,,,,,,,
altezzoso,1,,,,,,,,,,,,
altre razze,1,,,,,,,,,,,,
ammazz*,,,1,,,,,,,,,,
ammorbamento,1,,,,,,,,,,,,
ammorbante,1,,,,,,,,,,,,
ammorbant*,,,,1,,,,,,,,,
amorale,1,,,,,,,,,,,,
anale,,1,,,,,,,,,,,
anali,,1,,,,,,,,,,,
analfabeta,1,,,,,,,,,,,,
analfabeti,1,,,,,,,,,,,,
analfabetismo,1,,,,,,,,,,,,
analfabet*,,,,,,,,,,,,,1
andicappato,1,,,,,,,,,,,,
andicappat*,,,,,,,,,,,,,1
ano,,1,,,,,,,,,,,
antipatia,1,,,,,,,,,,,,
arpia,,,,1,,,,,,,,,
arrivist*,,,,1,,,,,,,,,
arrogante,1,,,,,,,,,,,,
arroganza,1,,,,,,,,,,,,
arrogant*,,,,1,,,,,,,,,
arruffamatasse,,,,1,,,,,,,,,
arruffapopoli,,,,1,,,,,,,,,
arruffone,1,,,,,,,,,,,,
arruffon*,,,,1,,,,,,,,,
arteriosclerotico,1,,,,,,,,,,,,
arteriosclerotic*,,,,,,,,,,,,,1
asinata,1,,,,,,,,,,,,
asineria,1,,,,,,,,,,,,
asinescamente,1,,,,,,,,,,,,
asinesco,1,,,,,,,,,,,,
asini,1,,,,,,,,,,,,
asinità ,1,,,,,,,,,,,,
asino,1,,,,,,,,,,,,
asin*,,,,1,,,,,,,,,
assassina,1,,,,,,,,,,,,
assassinare,1,,,,,,,,,,,,
assassinatore,1,,,,,,,,,,,,
assassini,1,,,,,,,,,,,,
assassinii,1,,,,,,,,,,,,
assassinio,1,,,,,,,,,,,,
assassino,1,,,,,,,,,,,,
assassin*,,,1,,,,,,,,,,
assurdità ,1,,,,,,,,,,,,
astioso,1,,,,,,,,,,,,
attricetta,,,,,,,,,,,1,,
avanzi d'ogni genere,1,,,,,,,,,,,,
avara,1,,,,,,,,,,,,
avarizia,1,,,,,,,,,,,,
avaro,1,,,,,,,,,,,,
avar*,1,,,,,,,,,,,,
aves,1,,,,,,,,,,,,
avidità ,1,,,,,,,,,,,,
avido,1,,,,,,,,,,,,
avid*,1,,,,,,,,,,,,
avvoltoi,,,,1,,,,,,,,,
avvoltoio,,,,1,,,,,,,,,
babbe*,,,,1,,,,,,,,,
babbuin*,,,,,,,,,,1,,,
baccalà ,1,,,,,,,,,,,,
bacchettonaggine,1,,,,,,,,,,,,
bacchettone,1,,,,,,,,,,,,
bacchettoneria,1,,,,,,,,,,,,
bacchetton*,,,,1,,,,,,,,,
bacherozz*,,,,1,,,,,,,,,
baciapile,,,,1,,,,,,,,,
bagasc*,,,,,,,,,,,1,,
bagass*,,,,,,,,,,,1,,
baggianata,1,,,,,,,,,,,,
baggianat*,1,,,,,,,,,,,,
baldracc*,,,,,,,,,,,1,,
balena,,,,,,,,,,,,1,
balene,,,,,,,,,,,,1,
balenotter*,,,,,,,,,,,,1,
balle,1,,,,,,,,,,,,
balla,1,,,,,,,,,,,,
ballista,,,,1,,,,,,,,,
balordaggine,1,,,,,,,,,,,,
balordamente,1,,,,,,,,,,,,
balordo,1,,,,,,,,,,,,
balord*,,,,1,,,,,,,,,
baluba,,,,1,,,,,,,,,
bambocciata,1,,,,,,,,,,,,
bamboccio,1,,,,,,,,,,,,
bambocc*,,,,1,,,,,,,,,
bambola_gonfiabile,,,,,,,,,,,1,,
bambole_gonfiabili,,,,,,,,,,,1,,
banalità ,1,,,,,,,,,,,,
banditi,1,,,,,,,,,,,,
banditismo,1,,,,,,,,,,,,
bandito,1,,,,,,,,,,,,
bandit*,,,,1,,,,,,,,,
baracca,1,,,,,,,,,,,,
barbone,1,,,,,,,,,,,,
barbon*,,,,1,,,,,,,,,
bastarda,1,,,,,,,,,,,,
bastardi,1,,,,,,,,,,,,
bastardino,1,,,,,,,,,,,,
bastardo,1,,,,,,,,,,,,
bastard*,,1,,,,,,,,,,,
batrace,1,,,,,,,,,,,,
batton*,,,,,,,,,,,1,,
bauscia,,,,,,1,,,,1,,,
beccamorti,1,,,,,,,,,,,,
beccamorto,1,,,,,,,,,,,,
beccamort*,,,,1,,,,,,,,,
becero,1,,,,,,,,,,,,
becer*,,,,1,,,,,,,,,
beduina,1,,,,,,,,,,,,
beduine,1,,,,,,,,,,,,
beduini,1,,,,,,,,,,,,
beduino,1,,,,,,,,,,,,
beduin*,,,,,,,,,,1,,,
befan*,,,,,,,,,,,1,,
bellimbusto,1,,,,,,,,,,,,
bellimbust*,1,,,,,,,,,,,,
benpensante,1,,,,,,,,,,,,
benpensant*,1,,,,,,,,,,,,
beota,1,,,,,,,,,,,,
beot*,,,,1,,,,,,,,,
bestia,,,,1,,,,,,,,,
bestie,,,,1,,,,,,,,,
bestialità ,,,,1,,,,,,,,,
bifolco,1,,,,,,,,,,,,
bifolc*,,,,1,,,,,,,,,
bigotti,1,,,,,,,,,,,,
bigottismo,1,,,,,,,,,,,,
bigotto,1,,,,,,,,,,,,
bigott*,,,,1,,,,,,,,,
bilanist*,,,,,,1,,,,,,,
bile,1,,,,,,,,,,,,
birro,1,,,,,,,,,,,,
birri,1,,,,,,,,,,,,
biscazziere,1,,,,,,,,,,,,
biscazzier*,1,,,,,,,,,,,,
bischero,,,,1,,,,,,,,,
bischeri,,,,1,,,,,,,,,
blaterare,1,,,,,,,,,,,,
blater*,1,,,,,,,,,,,,
bocchinara,1,,,,,,,,,,,,
bocchino,1,,,,,,,,,,,,
bocchin*,,,,,,,,,,,1,,
boia,,,,1,,,,,,,,,
boiata,1,,,,,,,,,,,,
bordello,1,,,,,,,,,,,,
boria,1,,,,,,,,,,,,
boriosità ,1,,,,,,,,,,,,
borioso,1,,,,,,,,,,,,
borios*,1,,,,,,,,,,,,
bottegaio,1,,,,,,,,,,,,
bottegai*,1,,,,,,,,,,,,
bottegaro,1,,,,,,,,,,,,
bottegar*,1,,,,,,,,,,,,
bovini,1,,,,,,,,,,,,
bovino,1,,,,,,,,,,,,
bovin*,,,,,,1,,,,,,,
bradipo,1,,,,,,,,,,,,
brigante,1,,,,,,,,,,,,
briganti,1,,,,,,,,,,,,
brigant*,,,,1,,,,,,,,,
brigare,1,,,,,,,,,,,,
brocco,,,,1,,,,,,,,,
brocchi,,,,1,,,,,,,,,
bruci*,,,1,,,,,,,,,,
bruto,1,,,,,,,,,,,,
brutto,1,,,,,,,,,,,,
budino di testa,1,,,,,,,,,,,,
buffonata,,,,1,,,,,,,,,
buffone,,,,1,,,,,,,,,
buffoneria,,,,1,,,,,,,,,
buffona,,,,1,,,,,,,,,
buffoni,,,,1,,,,,,,,,
buffonaggine,,,,1,,,,,,,,,
bufo,1,,,,,,,,,,,,
bugiardello,1,,,,,,,,,,,,
bugiardi,1,,,,,,,,,,,,
bugiardo,1,,,,,,,,,,,,
bugiard*,,,,1,,,,,,,,,
buon a nulla,1,,,,,,,,,,,,
buon_a_nulla,,,,1,,,,,,,,,
buono a nulla,1,,,,,,,,,,,,
buono_a_nulla,,,,1,,,,,,,,,
buona_a_nulla,,,,1,,,,,,,,,
burattini,1,,,,,,,,,,,,
burattino,1,,,,,,,,,,,,
burattin*,,,,1,,,,,,,,,
buttatel*,,,1,,,,,,,,,,
buzzurro,1,,,,,,,,,,,,
buzzurr*,,,,1,,,,,,,,,
cacasenno,1,,,,,,,,,,,,
cacasotto,,,,1,,,,,,,,,
cacatoio,1,,,,,,,,,,,,
cacatoi*,,,,1,,,,,,,,,
cacazibetto,1,,,,,,,,,,,,
a_cacare,,,,1,,,,,,,,,
caca*,,1,,,,,,,,,,,
cacacazz*,,,,1,,,,,,,,,
di_cacca,,,,1,,,,,,,,,
cacchio,1,,,,,,,,,,,,
cacciaballe,,,,1,,,,,,,,,
cacciapalle,,,,1,,,,,,,,,
cafona,1,,,,,,,,,,,,
cafonaggine,1,,,,,,,,,,,,
cafone,1,,,,,,,,,,,,
cafoneria,1,,,,,,,,,,,,
cafoni,1,,,,,,,,,,,,
cafon*,,,,1,,,,,,,,,
cagata,1,,,,,,,,,,,,
cagna,1,,,,,,,,,,,,
cagone,1,,,,,,,,,,,,
cagn*,,,,,,,,,,,1,,
a_cagare,,,,1,,,,,,,,,
caga*,,1,,,,,,,,,,,
cagacazz*,,,,1,,,,,,,,,
cagon*,,,,1,,,,,,,,,
calunniatore,1,,,,,,,,,,,,
calunniator*,1,,,,,,,,,,,,
calunniatric*,1,,,,,,,,,,,,
camorrist*,,,,,,,,,,1,,,
campagnolo,1,,,,,,,,,,,,
campato in aria,1,,,,,,,,,,,,
canaglia,1,,,,,,,,,,,,
canagliata,1,,,,,,,,,,,,
canagli*,,,,1,,,,,,,,,
cane,,,,1,,,,,,,,,
capobanda,,,,1,,,,,,,,,
capibanda,,,,1,,,,,,,,,
capopopolo,,,,1,,,,,,,,,
capipopolo,,,,1,,,,,,,,,
capra,1,,,,,,,,,,,,
capre,1,,,,,,,,,,,,
capro,1,,,,,,,,,,,,
caprone,1,,,,,,,,,,,,
capr*,,,,1,,,,,,,,,
carogna,1,,,,,,,,,,,,
carogne,1,,,,,,,,,,,,
carogn*,,,,1,,,,,,,,,
casa chiusa,1,,,,,,,,,,,,
casa_chiusa,1,,,,,,,,,,,,
casa d'appuntamenti,1,,,,,,,,,,,,
casa_dappuntamenti,1,,,,,,,,,,,,
casa da gioco,1,,,,,,,,,,,,
casa di malaffare,1,,,,,,,,,,,,
casa_di_malaffare,1,,,,,,,,,,,,
case_di_malaffare,1,,,,,,,,,,,,
casa di piacere,1,,,,,,,,,,,,
casa_di_piacere,1,,,,,,,,,,,,
case_di_piacere,1,,,,,,,,,,,,
casa di tolleranza,1,,,,,,,,,,,,
casa_di_tolleranza,1,,,,,,,,,,,,
case chiuse,1,,,,,,,,,,,,
case_chiuse,1,,,,,,,,,,,,
case da gioco,1,,,,,,,,,,,,
case di tolleranza,1,,,,,,,,,,,,
case_di_tolleranza,1,,,,,,,,,,,,
casinaro,1,,,,,,,,,,,,
casinista,1,,,,,,,,,,,,
castra*,,,1,,,,,,,,,,
castroneria,1,,,,,,,,,,,,
castroneri*,1,,,,,,,,,,,,
catapecchia,1,,,,,,,,,,,,
catapecchi*,1,,,,,,,,,,,,
catorcio,1,,,,,,,,,,,,
catorci*,,,,1,,,,,,,,,
cazzar*,,,,1,,,,,,,,,
cazzat*,,1,,,,,,,,,,,
cazzeggiare,,1,,,,,,,,,,,
cazzo,,1,,,,,,,,,,,
cazzi,,1,,,,,,,,,,,
cazzon*,,,,1,,,,,,,,,
di_cazzo,,,,1,,,,,,,,,
cencioso,1,,,,,,,,,,,,
cencios*,1,,,,,,,,,,,,
cerchiobottismo,1,,,,,,,,,,,,
cerebrolesione,1,,,,,,,,,,,,
cerebroleso,1,,,,,,,,,,,,
cerebroles*,,,,,,,,,,,,,1
cesso,,,,1,,,,,,,,,
cessi,,,,1,,,,,,,,,
cessa,,,,,,,,,,,,1,
cesse,,,,,,,,,,,,1,
checca,,,,,,,,,1,,,,
checche,,,,,,,,,1,,,,
chiappa,1,,,,,,,,,,,,
chiappe,1,,,,,,,,,,,,
chiapp*,1,,,,,,,,,,,,
chiavar*,,1,,,,,,,,,,,
chiavata,1,,,,,,,,,,,,
chiavat*,,1,,,,,,,,,,,
chiavica,,,,1,,,,,,,,,
cialtrone,,,,1,,,,,,,,,
cialtroneria,1,,,,,,,,,,,,
cialtroni,,,,1,,,,,,,,,
cialtrona,,,,,,,,,,,1,,
cianciare,1,,,,,,,,,,,,
ciarlare,1,,,,,,,,,,,,
ciarlataneria,1,,,,,,,,,,,,
ciarlatani,1,,,,,,,,,,,,
ciarlatano,1,,,,,,,,,,,,
ciarlatan*,,,,1,,,,,,,,,
ciarlieri,1,,,,,,,,,,,,
ciarlier*,1,,,,,,,,,,,,
ciarpame,1,,,,,,,,,,,,
cicciona,1,,,,,,,,,,,,
ciccione,1,,,,,,,,,,,,
ciccion*,,,,,,,,,,,,1,
ciciotta,1,,,,,,,,,,,,
ciciott*,,,,,,,,,,,,1,
cicciott*,,,,,,,,,,,,1,
cicisbeo,1,,,,,,,,,,,,
cicisbei,1,,,,,,,,,,,,
ciola,,1,,,,,,,,,,,
ciolla,,1,,,,,,,,,,,
ciondolone,1,,,,,,,,,,,,
ciondolon*,1,,,,,,,,,,,,
citrullaggine,1,,,,,,,,,,,,
citrullo,1,,,,,,,,,,,,
citrull*,,,,1,,,,,,,,,
ciucci*,,,,1,,,,,,,,,
ciuco,1,,,,,,,,,,,,
ciurma,1,,,,,,,,,,,,
ciurmaglia,1,,,,,,,,,,,,
clandestin*,,,,,,,,,,1,,,
cloaca,1,,,,,,,,,,,,
